epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0541,2.16203,2.03587,2.01497,0.77938,0.66802,0.75999,0.47327,1.35949,1.52039,1.40368,0.0701141,0.00332066,0.00332066
2,113.809,1.46243,1.21335,1.42876,0.84298,0.80966,0.88648,0.50657,1.47226,1.18782,1.45205,0.0400702,0.00661008,0.00661008
3,168.732,1.363,1.05918,1.37238,0.84731,0.83759,0.89647,0.49204,1.54111,1.0334,1.51359,0.00998224,0.00985549,0.00985549
4,223.456,1.29368,0.95581,1.31575,0.8927,0.91687,0.95342,0.57051,1.36788,0.96237,1.40205,0.009802,0.009802,0.009802
5,278.377,1.22588,0.8743,1.2688,0.85963,0.80279,0.87816,0.5834,1.17875,1.04446,1.27486,0.009736,0.009736,0.009736
6,333.489,1.29453,0.8875,1.31188,0.89664,0.90487,0.9508,0.62573,1.22584,0.82657,1.30056,0.00967,0.00967,0.00967
7,388.38,1.20772,0.83062,1.25539,0.91723,0.92923,0.95954,0.58332,1.3859,0.70365,1.41127,0.009604,0.009604,0.009604
8,443.091,1.17325,0.76903,1.25478,0.9374,0.95538,0.98396,0.68535,1.12272,0.6157,1.24408,0.009538,0.009538,0.009538
9,497.998,1.19914,0.77256,1.25098,0.94595,0.93395,0.97853,0.63341,1.30368,0.61986,1.3519,0.009472,0.009472,0.009472
10,552.746,1.16916,0.74251,1.24391,0.94638,0.91415,0.97859,0.64724,1.21008,0.6206,1.29219,0.009406,0.009406,0.009406
11,607.591,1.15058,0.73322,1.21629,0.95301,0.91756,0.97159,0.59794,1.34085,0.70221,1.37375,0.00934,0.00934,0.00934
12,662.281,1.12577,0.70236,1.21399,0.95576,0.95239,0.98531,0.6435,1.23577,0.5667,1.29754,0.009274,0.009274,0.009274
13,717.002,1.10703,0.69702,1.20873,0.9747,0.93861,0.98756,0.64875,1.26576,0.55186,1.31228,0.009208,0.009208,0.009208
14,771.746,1.12806,0.67822,1.20825,0.95473,0.92979,0.98029,0.67101,1.18527,0.57869,1.27363,0.009142,0.009142,0.009142
15,826.481,1.1164,0.6617,1.20448,0.93769,0.96017,0.98267,0.6261,1.27404,0.64553,1.3197,0.009076,0.009076,0.009076
16,881.356,1.1014,0.6559,1.20519,0.95546,0.95128,0.98553,0.65517,1.24436,0.56924,1.322,0.00901,0.00901,0.00901
17,936.171,1.10016,0.65061,1.20014,0.95703,0.93011,0.98336,0.62744,1.33104,0.59223,1.34565,0.008944,0.008944,0.008944
18,990.882,1.10112,0.62852,1.19511,0.93234,0.92807,0.97315,0.6037,1.35933,0.61085,1.38978,0.008878,0.008878,0.008878
19,1045.62,1.08547,0.62791,1.18304,0.96636,0.88979,0.97557,0.63911,1.24925,0.62123,1.31622,0.008812,0.008812,0.008812
20,1100.37,1.07874,0.61782,1.19355,0.95924,0.96288,0.98865,0.66785,1.23854,0.52051,1.2973,0.008746,0.008746,0.008746
21,1155.27,1.08099,0.62269,1.18056,0.96166,0.96172,0.98938,0.68878,1.11973,0.4989,1.22056,0.00868,0.00868,0.00868
22,1210.16,1.07517,0.61197,1.18795,0.95477,0.94664,0.98678,0.6314,1.3144,0.55419,1.35656,0.008614,0.008614,0.008614
23,1264.89,1.07259,0.60728,1.1817,0.96955,0.96039,0.99013,0.62849,1.33156,0.55044,1.36438,0.008548,0.008548,0.008548
24,1319.64,1.08434,0.59802,1.18945,0.96381,0.94896,0.98792,0.67883,1.14006,0.52804,1.23458,0.008482,0.008482,0.008482
25,1374.4,1.05289,0.5946,1.17201,0.96042,0.95712,0.98893,0.62153,1.39031,0.54675,1.41126,0.008416,0.008416,0.008416
26,1429.24,1.04657,0.57164,1.16642,0.95133,0.97516,0.98877,0.71397,1.08112,0.47331,1.19612,0.00835,0.00835,0.00835
27,1484.12,1.06987,0.58358,1.18768,0.97172,0.95674,0.98946,0.61225,1.40455,0.5453,1.42282,0.008284,0.008284,0.008284
28,1538.86,1.05079,0.57346,1.17215,0.97134,0.93968,0.98833,0.63044,1.32813,0.54599,1.3957,0.008218,0.008218,0.008218
29,1593.65,1.06058,0.57137,1.17101,0.96006,0.96404,0.98842,0.68353,1.16128,0.48685,1.24504,0.008152,0.008152,0.008152
30,1648.36,1.04179,0.55911,1.1616,0.95911,0.96172,0.98871,0.64382,1.26472,0.51753,1.30736,0.008086,0.008086,0.008086
31,1703.21,1.03443,0.53937,1.15575,0.96275,0.95947,0.98993,0.66874,1.20184,0.48107,1.27636,0.00802,0.00802,0.00802
32,1757.95,1.04157,0.5489,1.16317,0.962,0.94896,0.98844,0.6645,1.22724,0.51784,1.29858,0.007954,0.007954,0.007954
33,1812.67,1.02579,0.5495,1.15853,0.95799,0.97332,0.99054,0.70112,1.08702,0.45813,1.21231,0.007888,0.007888,0.007888
34,1867.36,1.04549,0.55528,1.16399,0.95309,0.94896,0.98644,0.70142,1.0846,0.47922,1.20941,0.007822,0.007822,0.007822
35,1922.07,1.02505,0.55079,1.14412,0.96959,0.96185,0.9912,0.66821,1.22082,0.48126,1.27956,0.007756,0.007756,0.007756
36,1976.92,1.02319,0.53101,1.15424,0.96849,0.96266,0.99139,0.67838,1.18659,0.44982,1.26318,0.00769,0.00769,0.00769
37,2031.65,1.01421,0.53091,1.15088,0.95092,0.98892,0.99253,0.66992,1.22158,0.46825,1.27716,0.007624,0.007624,0.007624
38,2086.38,1.0262,0.52951,1.15373,0.95487,0.9573,0.98949,0.68406,1.13328,0.46927,1.22934,0.007558,0.007558,0.007558
39,2141.13,1.02683,0.5237,1.15127,0.95998,0.97388,0.99007,0.668,1.16391,0.4637,1.24025,0.007492,0.007492,0.007492
40,2195.89,1.01468,0.51726,1.15112,0.96731,0.96122,0.99096,0.68259,1.14398,0.4596,1.23573,0.007426,0.007426,0.007426
41,2250.75,1.01351,0.52138,1.15254,0.96546,0.9728,0.99063,0.6783,1.20088,0.46025,1.27395,0.00736,0.00736,0.00736
42,2305.48,1.01959,0.52517,1.1488,0.96417,0.96786,0.99039,0.63942,1.35991,0.51133,1.39526,0.007294,0.007294,0.007294
43,2360.24,1.02489,0.52461,1.1575,0.97194,0.96453,0.99215,0.66898,1.18232,0.4687,1.28898,0.007228,0.007228,0.007228
44,2414.96,1.01752,0.52324,1.15363,0.96497,0.97332,0.98919,0.71439,1.0576,0.43236,1.18814,0.007162,0.007162,0.007162
45,2469.96,0.99986,0.50742,1.14265,0.96985,0.97034,0.99163,0.65594,1.24237,0.46175,1.29395,0.007096,0.007096,0.007096
46,2524.87,1.00508,0.51904,1.13847,0.97981,0.95715,0.99066,0.66832,1.22905,0.47739,1.29555,0.00703,0.00703,0.00703
47,2579.63,0.99785,0.50549,1.14507,0.96048,0.96404,0.99057,0.69367,1.13751,0.44935,1.23729,0.006964,0.006964,0.006964
48,2634.43,1.00717,0.5203,1.14016,0.9729,0.95779,0.9903,0.68348,1.14746,0.43613,1.2348,0.006898,0.006898,0.006898
49,2689.23,0.99671,0.50047,1.13901,0.96715,0.95621,0.98867,0.63494,1.28476,0.50318,1.35411,0.006832,0.006832,0.006832
50,2743.99,0.99615,0.50291,1.1244,0.96976,0.96724,0.9913,0.66119,1.26546,0.46086,1.32204,0.006766,0.006766,0.006766
51,2798.97,0.99542,0.50163,1.1266,0.97284,0.95581,0.99116,0.68205,1.13957,0.44762,1.23343,0.0067,0.0067,0.0067
52,2853.7,0.97795,0.49651,1.1253,0.97272,0.95158,0.98954,0.68662,1.16199,0.44397,1.24926,0.006634,0.006634,0.006634
53,2908.5,0.99212,0.50158,1.13921,0.96325,0.97304,0.99185,0.68822,1.14551,0.43768,1.24647,0.006568,0.006568,0.006568
54,2963.26,0.97397,0.49917,1.1308,0.97653,0.95012,0.99044,0.72147,1.01391,0.43667,1.16245,0.006502,0.006502,0.006502
55,3018.19,0.96983,0.49824,1.12962,0.95827,0.96288,0.98982,0.69935,1.10846,0.44705,1.2259,0.006436,0.006436,0.006436
56,3073.09,0.95791,0.48304,1.11271,0.95886,0.96636,0.99032,0.73357,0.9916,0.41204,1.15265,0.00637,0.00637,0.00637
57,3128.04,0.95067,0.49016,1.11179,0.96278,0.95592,0.98981,0.76449,0.89871,0.39976,1.097,0.006304,0.006304,0.006304
58,3182.93,0.94139,0.47699,1.11003,0.95609,0.9594,0.98958,0.77632,0.84536,0.39463,1.06752,0.006238,0.006238,0.006238
59,3237.82,0.93277,0.46604,1.10281,0.973,0.95708,0.99055,0.74751,0.96618,0.40454,1.12783,0.006172,0.006172,0.006172
60,3292.59,0.92984,0.46005,1.09504,0.9621,0.97182,0.99167,0.76514,0.89342,0.37309,1.09032,0.006106,0.006106,0.006106
61,3347.56,0.93341,0.46267,1.09109,0.95985,0.96752,0.99048,0.73837,0.95983,0.41225,1.1253,0.00604,0.00604,0.00604
62,3402.46,0.93252,0.46207,1.10164,0.96634,0.96584,0.99149,0.77286,0.85444,0.39278,1.07997,0.005974,0.005974,0.005974
